label,area,diameter,eccentricity,solidity,mean_intensity
790,108.0,11.726460285670077,0.8176859816552434,0.9473684210526315,0.8680742966961073
791,51.0,8.058239062071396,0.8788495035621069,0.8225806451612904,0.8136629529142374
792,14.0,4.222008245644752,0.8165399631383784,1.0,0.8470971190242536
793,24.0,5.527906391541368,0.4023730921018462,0.8888888888888888,0.7819144586195618
794,34.0,6.579524642479541,0.8736669565398397,0.8717948717948718,0.724731931536108
795,15.0,4.370193722368317,0.8940550038885068,0.9375,0.7688665358194308
796,436.0,23.56124872549269,0.5543488340418825,0.9140461215932913,0.7705006819962006
797,7.0,2.985410660720923,0.816496580927726,1.0,0.7601465021729988
798,19.0,4.918490759365935,0.7233930404969531,0.9047619047619048,0.7452998295542586
799,22.0,5.292567428401227,0.980384816996546,0.8461538461538461,0.7287503345525917
800,34.0,6.579524642479541,0.9092206066297731,0.8292682926829268,0.7288918634185764
801,19.0,4.918490759365935,0.5694466637667496,0.95,0.735311967357058
802,1.0,1.1283791670955126,0.0,1.0,0.6557899901864573
803,46.0,7.653039857325812,0.7356145509215404,0.92,0.7373997311942656
804,29.0,6.076507779746499,0.7046556424312875,0.9666666666666667,0.7189202565057018
805,1.0,1.1283791670955126,0.0,1.0,0.650883218842002
806,53.0,8.214724333230155,0.807782633248432,0.7681159420289855,0.7401887718258743
807,27.0,5.863230142835039,0.5563013577483792,0.9310344827586207,0.7364200559735397
808,13.0,4.068428945128219,0.9375978123483881,0.8666666666666667,0.7723541179134897
809,113.0,11.994835078277376,0.8379819466382249,0.9112903225806451,0.7921890062268232
810,76.0,9.83698151873187,0.7955439045700924,0.9743589743589743,0.8055296407726873
811,13.0,4.068428945128219,0.9350588483818555,0.8666666666666667,0.8143683475503887
812,123.0,12.514330345744634,0.9265383344305876,0.7935483870967742,0.8414240208398158
813,70.0,9.440697438826296,0.8442456904933191,0.8536585365853658,0.830641910836955
